,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27,2014-09-27,2014-06-28,2014-03-29,2013-12-28,2013-09-28,2013-06-29,2013-03-30,2012-12-29,2012-09-29,2012-06-30,2012-03-31,2011-12-31,2011-09-24,2011-06-25,2011-03-26,2010-12-25,2010-09-25,2010-06-26,2010-03-27,2009-12-26,2009-09-26,2009-06-27,2009-03-28,2008-12-27,2008-09-27,2008-06-28
Gross Profit Growth,0.1375,0.1238,0.1189,0.0858,0.0336,-0.0081,-0.1331,-0.1816,-0.1579,0.0229,0.2835,0.3357,0.3181,0.3614,0.1541,0.1314,0.0977,0.0373,-0.0368,-0.1314,-0.1193,0.0172,0.2655,0.2577,0.8168,1.0104,0.5149,0.943,0.8165,0.6063,0.4715,0.5405,0.5509,0.4225,0.0655,0.5319,0.466,0.3526,1.2945,0.3033
EBIT Growth,0.1011,0.1179,0.1419,0.0801,0.0383,-0.016,-0.1908,-0.2767,-0.2382,0.0064,0.3129,0.3805,0.3435,0.3787,0.131,0.1112,0.0707,0.0021,-0.0689,-0.2045,-0.1691,0.0112,0.2391,0.2419,0.9661,1.1948,0.6098,1.2253,0.9608,0.6736,0.4645,0.5944,0.6886,0.46,0.0261,0.7828,0.6154,0.4011,1.9593,0.2625
Net Income Growth,0.2532,0.1215,0.1886,0.1181,0.0488,-0.0256,-0.1897,-0.2698,-0.225,0.0187,0.3138,0.378,0.3273,0.3788,0.1271,0.1229,0.0708,-0.0005,-0.0865,-0.218,-0.1785,0.0011,0.2416,0.2074,0.9412,1.1759,0.5374,1.2465,0.9476,0.7774,0.7014,0.7795,0.8975,0.498,0.0458,0.7052,0.5502,0.4263,1.6811,0.3105
EPS Growth,0.3033,0.1598,0.2367,0.1748,0.1047,0.0242,-0.1465,-0.2312,-0.1838,0.0714,0.3846,0.4419,0.4012,0.4808,0.1917,0.2056,0.1509,0.0452,-0.0423,-0.2051,-0.1844,-0.007,0.2284,0.1943,0.9191,1.1479,0.5134,1.2098,0.9153,0.7472,0.6725,0.7406,0.8615,0.4711,0.0307,0.6936,0.5294,0.4015,1.6599,0.291
EPS Diluted Growth,0.3,0.1577,0.2249,0.1761,0.1053,0.0244,-0.1421,-0.2324,-0.1845,0.0719,0.3873,0.4453,0.4036,0.4783,0.1933,0.1963,0.152,0.0492,-0.0411,-0.1961,-0.1799,-0.004,0.2324,0.1959,0.9223,1.1556,0.5189,1.2216,0.9202,0.7538,0.67,0.7456,0.8594,0.4678,0.0366,0.6882,0.5422,0.4223,1.6597,0.2977
Weighted Average Shares Diluted Growth,-0.0367,-0.0319,-0.0389,-0.0437,-0.0504,-0.0476,-0.0509,-0.052,-0.0504,-0.0489,-0.0485,-0.046,-0.0523,-0.0679,-0.0616,-0.0646,-0.0703,-0.0483,-0.0411,-0.0241,0.0012,0.006,0.0091,0.0099,0.0096,0.009,0.0115,0.0113,0.0142,0.0145,0.0158,0.02,0.022,0.0203,0.0098,0.0066,0.0041,0.0016,0.0107,0.014
Operating Cash Flow Growth,0.2037,0.0389,-0.0291,-0.2136,0.0835,-0.0083,0.1967,-0.2905,-0.392,-0.1856,0.017,0.4615,0.4094,0.4875,0.3373,0.31,0.0827,-0.0323,0.0845,-0.2317,-0.1054,0.3345,-0.124,-0.0827,1.2475,0.7962,0.8351,1.3137,1.6691,0.6905,0.8273,1.115,1.7705,0.468,-0.2759,0.7184,-0.2951,0.413,1.5324,0.0766
Asset Growth,0.0986,0.2285,0.1667,0.1295,0.0958,0.1291,0.1079,0.1188,0.1688,0.1199,0.2524,0.2275,0.268,0.163,0.12,0.1134,0.0577,0.1484,0.1757,0.2269,0.2903,0.414,0.513,0.5258,0.5904,0.5988,0.5478,0.6494,0.6633,0.6085,0.5828,0.3445,0.3196,0.2603,0.3132,0.5182,0.419,0.4244,0.427,0.4648
Book Value per Share Growth,-0.0159,0.0975,0.0893,0.0964,0.0845,0.0829,0.1306,0.0599,0.0625,0.0932,0.1244,0.0905,0.1345,0.0209,-0.037,0.0485,-0.0472,0.067,0.0846,0.1255,0.3134,0.4022,0.5264,0.5933,0.6487,0.6266,0.5795,0.5843,0.5358,0.5022,0.4832,0.6317,0.5894,0.5363,0.4016,0.3045,0.3291,0.3429,0.5063,0.4359
Debt Growth,0.2367,0.3981,0.3292,0.2756,0.2335,0.3905,0.3529,0.5608,0.8206,0.7296,0.8226,0.7532,1.5864,1.1463,1.0811,0.8304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade and Non-Trade Receivables Growth,0.0871,0.8193,0.2176,0.1885,0.0397,0.1363,-0.0344,-0.0435,0.0914,-0.1786,0.1148,0.1821,0.1482,0.1896,0.3187,0.2518,0.1863,0.1701,0.1043,-0.0591,-0.0314,0.3064,0.5953,0.2464,0.241,0.5159,0.1807,0.7926,2.8444,2.5191,0.9624,1.3824,0.4938,0.4071,1.0879,0.6756,0.2128,0.1325,0.4795,0.1369
Inventory Growth,1.633,0.6302,1.2772,0.7182,0.2758,0.1065,-0.0924,-0.1033,-0.048,0.0736,0.1127,0.2811,0.31,0.0759,0.1967,-0.0607,0.4691,0.4584,1.2301,0.5125,0.1298,0.1772,0.0193,0.2621,0.1849,0.3966,-0.2617,-0.0563,0.4577,0.5365,1.3099,1.4789,1.0449,0.4545,-0.1061,-0.3028,-0.1429,-0.1373,0.4711,1.1713
Dividends per Basic Common Share Growth,0.1053,0.1053,0.1053,0.1053,0.0962,0.0962,0.0962,0.0962,0.1064,0.1064,0.1064,0.1064,0.078,0.078,0.078,0.078,0.1504,0.1504,0.1504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
