,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27,2014-09-27,2014-06-28,2014-03-29,2013-12-28,2013-09-28,2013-06-29,2013-03-30,2012-12-29,2012-09-29,2012-06-30,2012-03-31,2011-12-31,2011-10-01,2011-07-02,2011-04-02,2010-12-25,2010-09-25,2010-06-26,2010-03-27,2009-12-26,2009-09-26,2009-06-27,2009-03-28,2008-12-27,2008-09-27,2008-06-28
Gross Profit Growth,0.5794,0.4672,8.7119,0.2665,0.4052,0.2403,-0.7531,0.375,-0.1748,-0.2139,-0.5162,-0.5341,-0.3306,-0.349,-0.0518,0.085,0.0944,2.1067,0.3291,-0.2806,15.4815,-0.7697,-0.4815,-0.1139,-0.9609,0.0404,0.023,-0.0244,-0.0675,0.0109,0.2632,0.6735,0.4501,1.7022,-0.3614,-0.137,-0.1771,-0.66,0.4425,0.164
EBIT Growth,29.0,8.0,1.3352,-0.8633,1.0588,0.7647,-1.2848,1.9929,0.5036,0.8436,-3.5484,-11.0,-5.7241,-3.4328,-0.3673,1.4828,1.29,1.316,1.8673,-1.3919,0.8273,-2.0725,-1.8433,-0.3333,-2.0339,-1.3026,3.1967,14.8571,0.8301,-0.6571,-21.3333,1.033,2.5692,2.0456,1.0732,0.8062,0.2586,0.2557,0.8541,-1.2935
Net Income Growth,3.4545,2.1961,1.1749,-1.2319,0.6972,0.5,-1.0609,1.3812,0.3944,0.7198,-12.5882,-4.0278,-8.0,-5.0899,-0.6458,0.5135,0.863,1.1882,1.3057,-3.0,0.7525,-1.6723,-2.6186,-0.3934,-2.1569,-1.472,1.822,2.4186,0.9844,-0.6817,0.0781,0.8697,1.6178,1.8203,0.0448,0.7238,-0.1429,0.1964,0.6616,-0.9917
EPS Growth,3.0,2.5,1.14,-1.2222,0.7143,0.6667,-1.0,1.3913,0.3913,0.75,-13.5,-3.6,-6.6667,-5.0,-0.6667,0.5,0.8421,1.1875,1.2857,-3.0,0.7625,-1.6667,-2.6154,-0.375,-2.1268,-1.4528,1.7647,2.3333,0.9722,-0.7022,0.0556,0.8776,1.5455,1.7542,0.1818,0.7513,-0.1,0.2532,0.6901,-0.8073
EPS Diluted Growth,3.0,2.5,1.14,-1.25,0.7143,0.6667,-1.0,1.3478,0.3913,0.75,-13.5,-3.6,-6.6667,-5.0,-0.6667,0.5,0.8421,1.1875,1.2857,-3.0,0.7625,-1.6667,-2.6154,-0.375,-2.1765,-1.4706,1.7647,2.3333,0.9429,-0.7119,0.0556,0.8776,1.5303,1.75,0.1818,0.7513,-0.1,0.2532,0.6901,-0.8073
Weighted Average Shares Diluted Growth,0.1065,0.1089,0.2785,0.151,0.1841,0.1831,0.0382,0.0553,0.0206,0.0193,0.0,0.0183,0.021,0.0264,0.0275,0.016,0.016,0.0134,0.0255,-0.004,0.0204,0.0067,0.0054,0.0162,-0.0393,0.0082,0.0393,0.048,0.0133,0.0138,0.0274,0.063,0.2045,0.196,0.1414,0.0988,0.033,0.0484,0.0975,0.0996
Operating Cash Flow Growth,0.7124,1.0372,1.2759,0.0353,-6.119,2.1864,1.5179,-0.4912,0.7558,-0.4914,-4.1111,-1.0357,0.1569,4.5238,-0.1429,0.2,-0.3161,1.0734,1.0875,-1.4321,-2.4486,-2.5294,-2.2698,-0.5345,1.6369,1.8779,2.5242,2.7755,-8.3043,-1.1852,0.1268,0.3194,1.0588,5.6,0.3426,0.405,-25.4375,-5.0984,-1.9686,0.6189
Asset Growth,0.1406,0.0696,-0.0083,0.0163,0.1067,0.0768,0.1199,-0.0192,-0.1304,-0.1813,-0.2534,-0.2037,-0.1655,-0.1314,0.0019,0.0896,0.0819,0.0843,-0.064,-0.2269,-0.2388,-0.1926,-0.1192,-0.035,-0.0424,-0.002,0.1395,0.0543,-0.0044,-0.4532,-0.4747,-0.4293,-0.422,0.1833,-0.0735,-0.1125,-0.1924,-0.3358,-0.2701,-0.2601
Book Value per Share Growth,0.695,0.3874,0.1504,1.8481,1.6877,1.8538,2.1028,-1.8729,-29.8182,-3.1577,-1.6158,-1.2759,-0.9672,-0.6648,0.2129,0.3753,0.2112,-0.0014,-0.5685,-0.6845,-0.6134,-0.668,-0.4448,-0.333,-0.3378,0.5285,1.7782,1.1367,0.9218,3.3416,1.363,1.4565,1.563,-7.7826,-2.2393,-2.0978,-1.495,-1.0147,-0.7222,-0.7204
Debt Growth,-0.0142,-0.0279,-0.1262,-0.3668,-0.3703,-0.3585,-0.2779,-0.0137,-0.0141,0.0113,0.0236,0.0267,0.0608,0.0748,0.0776,0.0796,0.046,0.0078,0.0044,0.0129,0.0124,0.0129,-0.0097,-0.0809,-0.0806,-0.0803,-0.0585,-0.0917,-0.1567,-0.5193,-0.6072,-0.5624,-0.5319,-0.0452,0.0837,0.0636,0.0522,-0.0936,-0.0366,-0.0607
Trade and Non-Trade Receivables Growth,0.4939,0.4598,0.2047,-0.0849,-0.0276,-0.4165,-0.0123,-0.0233,-0.3411,-0.3484,-0.334,-0.2122,-0.0821,-0.0168,0.1145,0.3015,0.3023,0.3206,0.2782,-0.0995,-0.3295,-0.3145,-0.2478,-0.0198,0.207,-0.0506,0.1869,0.0469,0.1807,0.2993,0.3374,0.9809,0.6304,1.3281,-0.0774,-0.1625,-0.2305,-0.5,-0.0909,-0.3448
