,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30
Gross Profit Growth,0.5298,0.4855,0.4139,0.2922,0.2935,0.296,0.3314,0.3986,0.4015,0.3175,0.4454,0.3508,0.2877,0.2767,0.2594,0.3217,0.3319,0.3216,0.3553,0.3434,0.3518,0.4253,0.3669,0.4012,0.4042,0.3688,0.438,0.4842,0.3798,0.3303,0.3936,0.4201,0.4199,0.4666,0.2743,0.1717,0.2008,0.1521,0.311,0.3795
EBIT Growth,1.0568,0.7058,-0.0952,-0.3695,-0.0118,0.2345,0.6826,1.7119,7.5659,1.1278,1.6003,35.3077,-0.4215,0.0764,-33.8824,-0.6667,1.299,0.4357,0.8994,-0.7153,-0.5,0.1272,-2.1497,-0.4627,-0.3576,-0.4473,-0.5421,-0.1612,-0.2562,0.0756,0.2068,0.617,0.5736,0.5063,0.3711,-0.1644,0.1366,0.0498,0.3566,0.7308
Net Income Growth,1.25,1.4793,0.0159,-0.7701,0.4113,0.5539,2.1899,8.3152,10.0,1.2523,1.1808,1.7302,-1.5278,-0.1083,-9.6585,-17.0,0.3171,1.449,0.8504,-2.0,-0.3692,-0.4463,-5.3492,-0.9634,-0.3532,-0.5745,-0.7273,-0.0773,-0.3278,0.0833,0.1608,0.4577,0.6893,0.7067,0.6864,-0.1013,0.2378,0.087,0.475,1.0256
EPS Growth,1.2105,1.443,0.0,-0.7735,0.3945,0.5192,2.1176,8.05,10.0833,1.2128,1.1789,1.7407,-1.5217,-0.0962,-9.5556,-12.5,0.2778,1.4762,0.85,-2.0,-0.3793,-0.4615,-5.2857,-0.9524,-0.3409,-0.5806,-0.7255,-0.087,-0.3433,0.0568,0.1087,0.3939,0.6341,0.6923,0.6429,-0.1316,0.2059,0.04,0.4737,1.0
EPS Diluted Growth,1.2095,1.4416,0.0,-0.7753,0.3832,0.5248,2.0588,8.3684,9.9167,1.1489,1.1789,1.7037,-1.5217,-0.0962,-9.5556,-12.5,0.2778,1.4762,0.85,-3.0,-0.3571,-0.4474,-5.2857,-0.9756,-0.3636,-0.5824,-0.7255,-0.0889,-0.3333,0.0581,0.1333,0.4063,0.6098,0.6538,0.6667,-0.1351,0.2059,0.0833,0.4211,0.9474
Weighted Average Shares Diluted Growth,0.0163,0.0185,0.0186,0.0186,0.0187,0.0146,0.0146,0.0147,0.0344,0.0323,0.0324,0.0325,-0.0064,-0.0064,0.0131,0.011,0.0108,0.0263,0.0111,-0.0044,0.0065,-0.0172,-0.0195,-0.0043,0.0022,0.0109,0.011,0.011,0.011,0.0177,0.034,0.0341,0.0389,0.0368,0.0115,0.0233,0.0258,0.0187,0.0259,0.0165
Operating Cash Flow Growth,-0.1062,0.1234,-0.1734,0.0702,0.171,0.2303,0.7851,0.7917,-0.3029,0.33,0.4779,1.3167,0.4009,0.2038,0.2723,-0.0205,-0.0548,0.0978,0.4719,0.4815,0.0271,0.1902,0.1832,0.4043,-0.5372,0.2239,-0.0678,0.692,-0.4444,0.3359,0.0701,-0.4658,-0.8769,0.662,0.8844,0.3487,0.093,0.3685,0.789,0.1605
Asset Growth,0.5606,0.5744,0.6258,0.3489,0.3246,0.2881,0.2608,0.241,0.2207,0.1879,0.3912,0.3837,0.377,0.3572,0.2686,0.2793,0.2815,0.2336,0.3953,0.4091,0.3952,0.2879,0.1984,0.1717,0.2048,0.3448,0.3454,0.4472,0.4019,0.3608,0.5785,0.6152,0.7252,0.6614,0.3664,0.214,0.1865,0.282,0.4218,0.5868
Book Value per Share Growth,0.4307,0.419,0.3665,0.3861,0.4503,0.4107,0.4125,0.3875,0.3398,0.2407,0.1898,0.0957,0.0415,0.0902,0.1227,0.2009,0.2115,0.1793,0.1899,0.1508,0.1546,0.0491,-0.0231,-0.0292,-0.0147,0.1151,0.198,0.3082,0.2903,0.2823,0.7206,0.7343,0.8561,0.9228,0.4023,0.4228,0.9296,1.1648,2.2198,2.9775
Debt Growth,2.2037,2.2159,2.0116,-0.0644,-0.0642,-0.0648,-0.0046,-0.0046,-0.0046,-0.0046,1.6599,1.6451,1.6238,1.5901,0.0184,0.0253,0.0352,0.0347,0.0,0.0,0.0,11.0941,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.4138,0.211,0.7703,-1.0,-0.7333,-0.8753,-0.9461,-0.6851,-0.6583,-0.3041
